Week,Worldwide number of searches
2019-03-03,27
2019-03-10,27
2019-03-17,28
2019-03-24,29
2019-03-31,28
2019-04-07,27
2019-04-14,25
2019-04-21,28
2019-04-28,26
2019-05-05,27
2019-05-12,32
2019-05-19,29
2019-05-26,31
2019-06-02,32
2019-06-09,32
2019-06-16,34
2019-06-23,32
2019-06-30,31
2019-07-07,32
2019-07-14,31
2019-07-21,32
2019-07-28,31
2019-08-04,33
2019-08-11,32
2019-08-18,32
2019-08-25,34
2019-09-01,32
2019-09-08,34
2019-09-15,34
2019-09-22,34
2019-09-29,33
2019-10-06,32
2019-10-13,32
2019-10-20,31
2019-10-27,30
2019-11-03,30
2019-11-10,30
2019-11-17,29
2019-11-24,29
2019-12-01,29
2019-12-08,29
2019-12-15,30
2019-12-22,28
2019-12-29,30
2020-01-05,36
2020-01-12,37
2020-01-19,35
2020-01-26,36
2020-02-02,34
2020-02-09,32
2020-02-16,37
2020-02-23,35
2020-03-01,34
2020-03-08,36
2020-03-15,59
2020-03-22,80
2020-03-29,91
2020-04-05,97
2020-04-12,93
2020-04-19,98
2020-04-26,98
2020-05-03,97
2020-05-10,95
2020-05-17,90
2020-05-24,91
2020-05-31,90
2020-06-07,91
2020-06-14,87
2020-06-21,88
2020-06-28,86
2020-07-05,87
2020-07-12,100
2020-07-19,88
2020-07-26,85
2020-08-02,77
2020-08-09,74
2020-08-16,75
2020-08-23,76
2020-08-30,72
2020-09-06,69
2020-09-13,68
2020-09-20,71
2020-09-27,69
2020-10-04,57
2020-10-11,52
2020-10-18,53
2020-10-25,51
