Week,Worldwide number of searches
2019-03-03,43
2019-03-10,43
2019-03-17,44
2019-03-24,42
2019-03-31,42
2019-04-07,43
2019-04-14,44
2019-04-21,43
2019-04-28,44
2019-05-05,41
2019-05-12,41
2019-05-19,42
2019-05-26,45
2019-06-02,43
2019-06-09,43
2019-06-16,46
2019-06-23,42
2019-06-30,47
2019-07-07,46
2019-07-14,50
2019-07-21,49
2019-07-28,46
2019-08-04,45
2019-08-11,47
2019-08-18,47
2019-08-25,45
2019-09-01,44
2019-09-08,41
2019-09-15,45
2019-09-22,44
2019-09-29,43
2019-10-06,44
2019-10-13,44
2019-10-20,44
2019-10-27,47
2019-11-03,45
2019-11-10,46
2019-11-17,45
2019-11-24,44
2019-12-01,45
2019-12-08,44
2019-12-15,51
2019-12-22,66
2019-12-29,70
2020-01-05,59
2020-01-12,53
2020-01-19,55
2020-01-26,51
2020-02-02,50
2020-02-09,51
2020-02-16,49
2020-02-23,49
2020-03-01,48
2020-03-08,51
2020-03-15,85
2020-03-22,99
2020-03-29,100
2020-04-05,93
2020-04-12,89
2020-04-19,86
2020-04-26,84
2020-05-03,76
2020-05-10,71
2020-05-17,66
2020-05-24,66
2020-05-31,62
2020-06-07,63
2020-06-14,60
2020-06-21,61
2020-06-28,64
2020-07-05,63
2020-07-12,60
2020-07-19,61
2020-07-26,60
2020-08-02,55
2020-08-09,55
2020-08-16,59
2020-08-23,57
2020-08-30,56
2020-09-06,59
2020-09-13,61
2020-09-20,58
2020-09-27,54
2020-10-04,54
2020-10-11,53
2020-10-18,54
2020-10-25,60
