Week,Worldwide number of searches
2019-03-03,36
2019-03-10,34
2019-03-17,34
2019-03-24,34
2019-03-31,31
2019-04-07,31
2019-04-14,33
2019-04-21,32
2019-04-28,33
2019-05-05,30
2019-05-12,29
2019-05-19,29
2019-05-26,32
2019-06-02,34
2019-06-09,40
2019-06-16,33
2019-06-23,32
2019-06-30,31
2019-07-07,32
2019-07-14,36
2019-07-21,33
2019-07-28,35
2019-08-04,35
2019-08-11,35
2019-08-18,32
2019-08-25,33
2019-09-01,33
2019-09-08,32
2019-09-15,32
2019-09-22,36
2019-09-29,34
2019-10-06,38
2019-10-13,34
2019-10-20,37
2019-10-27,38
2019-11-03,40
2019-11-10,46
2019-11-17,53
2019-11-24,100
2019-12-01,67
2019-12-08,58
2019-12-15,65
2019-12-22,82
2019-12-29,60
2020-01-05,43
2020-01-12,39
2020-01-19,36
2020-01-26,33
2020-02-02,33
2020-02-09,34
2020-02-16,33
2020-02-23,33
2020-03-01,31
2020-03-08,37
2020-03-15,63
2020-03-22,76
2020-03-29,72
2020-04-05,71
2020-04-12,72
2020-04-19,62
2020-04-26,64
2020-05-03,55
2020-05-10,54
2020-05-17,53
2020-05-24,52
2020-05-31,51
2020-06-07,57
2020-06-14,54
2020-06-21,48
2020-06-28,45
2020-07-05,42
2020-07-12,39
2020-07-19,40
2020-07-26,39
2020-08-02,38
2020-08-09,38
2020-08-16,37
2020-08-23,37
2020-08-30,35
2020-09-06,35
2020-09-13,37
2020-09-20,36
2020-09-27,35
2020-10-04,36
2020-10-11,39
2020-10-18,34
2020-10-25,45
