Week,Worldwide number of searches
2019-03-03,35
2019-03-10,34
2019-03-17,35
2019-03-24,33
2019-03-31,33
2019-04-07,32
2019-04-14,33
2019-04-21,34
2019-04-28,36
2019-05-05,34
2019-05-12,40
2019-05-19,38
2019-05-26,45
2019-06-02,41
2019-06-09,50
2019-06-16,42
2019-06-23,40
2019-06-30,46
2019-07-07,46
2019-07-14,40
2019-07-21,45
2019-07-28,42
2019-08-04,46
2019-08-11,46
2019-08-18,40
2019-08-25,44
2019-09-01,44
2019-09-08,44
2019-09-15,48
2019-09-22,43
2019-09-29,41
2019-10-06,43
2019-10-13,43
2019-10-20,45
2019-10-27,42
2019-11-03,43
2019-11-10,46
2019-11-17,47
2019-11-24,41
2019-12-01,43
2019-12-08,36
2019-12-15,39
2019-12-22,42
2019-12-29,50
2020-01-05,60
2020-01-12,52
2020-01-19,47
2020-01-26,60
2020-02-02,46
2020-02-09,46
2020-02-16,47
2020-02-23,45
2020-03-01,50
2020-03-08,50
2020-03-15,80
2020-03-22,91
2020-03-29,96
2020-04-05,100
2020-04-12,100
2020-04-19,89
2020-04-26,100
2020-05-03,87
2020-05-10,94
2020-05-17,96
2020-05-24,86
2020-05-31,81
2020-06-07,79
2020-06-14,81
2020-06-21,76
2020-06-28,75
2020-07-05,83
2020-07-12,81
2020-07-19,74
2020-07-26,70
2020-08-02,68
2020-08-09,68
2020-08-16,71
2020-08-23,61
2020-08-30,61
2020-09-06,61
2020-09-13,72
2020-09-20,57
2020-09-27,61
2020-10-04,51
2020-10-11,51
2020-10-18,50
2020-10-25,55
