Week,Worldwide number of searches
2019-03-03,49
2019-03-10,48
2019-03-17,47
2019-03-24,47
2019-03-31,45
2019-04-07,43
2019-04-14,50
2019-04-21,46
2019-04-28,44
2019-05-05,42
2019-05-12,41
2019-05-19,42
2019-05-26,44
2019-06-02,45
2019-06-09,52
2019-06-16,49
2019-06-23,45
2019-06-30,46
2019-07-07,47
2019-07-14,50
2019-07-21,47
2019-07-28,48
2019-08-04,49
2019-08-11,48
2019-08-18,46
2019-08-25,46
2019-09-01,46
2019-09-08,44
2019-09-15,45
2019-09-22,45
2019-09-29,45
2019-10-06,43
2019-10-13,43
2019-10-20,46
2019-10-27,48
2019-11-03,48
2019-11-10,52
2019-11-17,58
2019-11-24,90
2019-12-01,71
2019-12-08,65
2019-12-15,72
2019-12-22,100
2019-12-29,76
2020-01-05,57
2020-01-12,52
2020-01-19,50
2020-01-26,45
2020-02-02,45
2020-02-09,44
2020-02-16,46
2020-02-23,45
2020-03-01,42
2020-03-08,44
2020-03-15,66
2020-03-22,78
2020-03-29,81
2020-04-05,82
2020-04-12,85
2020-04-19,74
2020-04-26,78
2020-05-03,71
2020-05-10,70
2020-05-17,70
2020-05-24,64
2020-05-31,57
2020-06-07,65
2020-06-14,62
2020-06-21,56
2020-06-28,56
2020-07-05,52
2020-07-12,51
2020-07-19,51
2020-07-26,50
2020-08-02,48
2020-08-09,49
2020-08-16,50
2020-08-23,47
2020-08-30,46
2020-09-06,48
2020-09-13,45
2020-09-20,47
2020-09-27,44
2020-10-04,44
2020-10-11,44
2020-10-18,42
2020-10-25,51
