Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates,SA
RT @senrobportman: One thing the threat of the #Coronavirus outbreak has made clear is that we must stop relying on China for critical medi…,140,1236661157877800961,Sun Mar 08 14:32:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,883,nan,nan,nan,0.05000000000000001
"RT @biby__: Mon beau-frère présente tous les symptômes du #coronavirus 
(Fièvre, toux, détresse respiratoire...)
On l'emmène aux urgences..…",140,1237100463444672520,Mon Mar 09 19:38:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,807,nan,nan,nan,0.0
"RT @olivierveran: #SoireeBFMTV | Nous avons un objectif : freiner la propagation du #coronavirus. Une image vaut mille mots, voici donc un…",139,1237174421040893954,Tue Mar 10 00:32:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,4048,nan,nan,nan,0.3
"RT @ABCCardinal: #Coronavirus #CoronavirusPy ""Esta es la primera vez que Paraguay experimenta una pandemia de este tipo"", Dr. Antonio Arbo.…",140,1237705522159239169,Wed Mar 11 11:42:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,5,nan,nan,nan,0.25
"RT @CoronaVid19: Ya os lo digo yo, ¡PARA JODER!",47,1237726202896531456,Wed Mar 11 13:04:57 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,200,nan,nan,nan,-0.5
RT @game_watch: ゲーム業界最大のイベント「E3 2020」の中止が正式発表　 https://t.co/fwfROkF4DU #E32020 #E3 #COVID19 https://t.co/Nz58MlDKtr,115,1237852459478822912,Wed Mar 11 21:26:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,280,nan,nan,nan,0.0
"RT @LesEchos: Les places Tokyo, Shanghai, Séoul ou encore Hong Kong replongent dans le rouge &gt;&gt; 

https://t.co/Jy0Ahn2L86

#Coronavirus",141,1238000001881722881,Thu Mar 12 07:12:56 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,4,nan,nan,nan,0.0
"RT @SIN24Horas: La perspectiva de Alicia Ortega: Chequeos fallidos

Detalles en https://t.co/mOpSHdNH2H 
#NoticiasSIN #SIN #SINDigital #SIN…",140,1238316862762614784,Fri Mar 13 04:12:01 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,4,nan,nan,nan,-0.5
"RT @ShobhaBJP: ‘Modi hai to mumkin Hai’!

Special Air India Flight Successfully Airlifts 211 Students Stranded In in Italy which has witnes…",140,1239188243058290688,Sun Mar 15 13:54:34 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,123,nan,nan,nan,0.5535714285714286
RT @pichinchauniver: 🔴#ATENCIÓN  | Una nueva cadena nacional para informar sobre las medidas que ha tomado el Gobierno para enfrentar el #C…,140,1239972050132819968,Tue Mar 17 17:49:08 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,3,nan,nan,nan,0.13636363636363635
